full_text,author,date_stayed,hotel_id,date_review,via_mobile,service,cleanliness,overall,value,location,sleep_quality,rooms,mean_rating,sentiment,hotel_class,name,locality,postal_code,street_address
"“Trying to be something it's not” My husband and I came back from New York last week staying at the Hudson Hotel for 4 nights. The location of the hotel is great but to be honest that was the highlight. 
It's trying to be modern with escalators in and a great chandelier and dark reception but with scratched paint, peeling walls and too small bedrooms it doesnt live up to the price tag. It's also extremely noisy - there appeared to be some sort of club/nightclub at the back to the late hours and I had to wear earplugs even when reading. 
Unfortunately whilst we were there everything was pretty much closed for refurbishment, not great for New York Xmas time. The 'fantastic' restuarant, glass floored bar and sky terrace all not available (and although it was our travel agents fault for not telling us - we found out ourselves the day before travelling and then couldnt transfer) it did not help that at no point is it mentioned when the sky terrace will close. Apparently it is not available in the winter months - this should be advertised as some of the other hotel terraces are open.
So although the location is great, I wouldnt go there again even when it is refurbed. My advice, find something clean and cheap and spend most of the time perusing the city.",THorton810,2012-12-01,223023,2012-12-19,False,3.0,3.0,2.0,2.0,4.0,1.0,2.0,2.4,0,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“STAY AWAY!” I ended up in this room thanks to a bidding hotel site. It was so horrible that I am afraid to use Central Park South as a parameter again for fear of being stuck in this awful hotel.
I stay in NYC several times a year and since I use bidding sites I am often in boutique hotels, so I am accustomed to small rooms.
However this place was ridiculous. The room was so small that at 5'4"" my knees were hitting the wall when I used the bathroom. The room was so dark that even with every light on, it was still like a cave. The bed was ok but the 'nightstands' and 'desk' was a total joke.
The blanket on the bed was grotty and had clearly seen better days. The worst part was the noise from the bar. I called the front desk several times and asked to be moved, and was told that the hotel was sold out despite their OWN WEBSITE showing availability. 
This was truly disappointing, which was a pity since it was in a decent location. But based on the insanely small rooms and bathroom, noise and horrible customer service, I would actively tell people to not stay in the hotel.
Also, 1/2 the elevators did not work, during the stay.",Mrose1022,2012-12-01,223023,2012-12-18,False,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.7,0,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Poor service. Zero respect for customer” On arrival we were accused of not had paying the room fee when on booking 6 months prior, credit card details were taken and the booking was confirmed. We then got locked out of the room and escorted to and from the lobby by security. There was absolutely no respect given to us as customers and patrons and we were left feeling like criminals. When the money situation was resolved no apology was acknowledged and we did not have a comfortable stay. For the amount we paid we recieved a room that was on the smallest scale and will not be returning or recommending the Hudson Hotel.",MPG90,2012-12-01,223023,2012-12-17,True,1.0,4.0,3.0,1.0,5.0,4.0,2.0,2.9,0,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Not a recommendation” The stay began with our room not being ready at check-in time. Then, being told, not taken or provided for, that we needed to check our luggage ourselves downstairs via one of the 2 working elevators. Upon returning to the hotel, our luggage was not in our room (after a $20 tip to the bellman who promised to put it there when the room was ready) and was actually LOST when we returned to the hotel. I combed through the luggage room with another bellman until it was personally found. We missed curtain to our play due to the inability to find our luggage (which held the tickets) and change into suitable clothing.
We did not have a pleasurable visit at the Hudson; so much so, that we left early and after a fight with the hotel to refund the night we didn't stay. To their credit, they did provide a discount for the portion we stayed and refunded the night we didn't stay. Having said that, this is a Morgan's Group hotel and run as such - it is no longer the Ian Schrager gem it was mean to be.
To say we were disappointed that what would be common assumptions for a hotel at that level in a city that prides itself in service would be an understatement. It did not have room service, a minibar, a working restaurant, a top sheet of bed linens on either bed in our room, bottled water / beverages in the room - or even if for only for purchase, or rooms that were cleaned appropriately. The attached photos explain the frayed towels and unacceptable quality of linens, dirty paper cups that were not changed (one dirty before we got the room on a Friday but the sanitise top put on it), the empty mini bar in the room that they no longer fill as well as the empty snack bin above it, or the dirty grout that has been painted messily over in the bathroom. The floor had not been swept during our stay and the shampoos put in our room were previously used (only half full). 
This is *not* a four star hotel; I travel a great deal and have stayed in many levels of accommodations. Regardless of amenities, there is one thing that should remain true -> clean standards and customer service. Both were missing and cost hours of fighting through both the booking service and hotel after our return home to receive any compensation /reimbursement.
Buyer beware. NYC is a lovely city with wonderful hotels - this is not one of them.",JacquiBlake,2012-10-01,223023,2012-12-16,False,1.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,0,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“good location, fab beds” excellent location near central park and ten minutes down to Times Square. The hotel could do with a sign outside though! Small rooms as I expected but clean, modern and the bed was huge with luxurious bedding. Bathroom window into bedroom was bizarre but would stay there again. Didnt eat there but reception staff very helpful. Luggage storage/checkout very good on departure day.",lesleyscott9317,2012-11-01,223023,2012-12-14,False,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.3,1,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Worst of the Worst” I travel extensively throughout the USA and can honestly say this is the worst hotel stay ever. The rooms are tiny. Upon check-in, I asked for a quiet room away from the noise of the bars. I ended up in a room directly over the thumping music that played loudly every evening. I could not turn on the air/heat or fan to help deaden the noise because the climate control system did not work. I had to open the window for air, which let in even more noise. I asked them to repair the system upon my morning departure. When I returned late that evening, the system still did not work, but instead made very loud clanking noises throughout the night. I had to pull the plug on the unit at 3:00 AM so I could get some sleep. Each night there was some sort of disturbance interrupting sleep, either a Hudson employee walking down the hall having a conversation on his 2-way radio, or guest room doors slamming at all hours. Do yourself a favor and just sleep at the airport terminal. It will be much nicer and quieter.",Joey P,2012-12-01,223023,2012-12-13,False,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.6,0,4.0,Hudson New York,New York City,10019,356 West 58th Street
“Just what I needed” I stayed at the hudson for 5 days at the beginning of December. I was slightly concerned with mixed views I had read on here. All I can say is it was just what I needed I was on my own and wanted somewhere in a perfect location close to all the things New York has to offer so location is excellent. I also though the staff were great when I checked in they noticed I was taller than average 6 ft 8. So they upgraded me to a slightly larger room. I'm not sure what room it was but being on my own it was perfect. Plenty of space and a lovely comfy bed. I really don't know what the fuss is about the rooms being small it is NYC. Only disappointment was some of the hotel was being renovated. But overall a great funky hotel. In a great location and if I visit again I will certainly stay at the hudson. I also thought it was easy to sleep and I was on the 5th floor and heard no traffic noise maybe the alcohol made me sleep easier lol.,Stuart R,2012-12-01,223023,2012-12-12,False,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.1,1,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Modern chic” Stayed at the Hudson for the first time in many years. The rooms are very small but have always been very clean and well kept. The bar is still quite happening on weekends, a fun hangout. Location is excellent. Paid about $220 per night including parking, a great price by New York standards. They just renovated and now has a younger fresher feel..cool..chic",Nicholas S,2012-11-01,223023,2012-12-11,False,4.0,5.0,4.0,5.0,5.0,5.0,3.0,4.4,1,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Outstanding Service” The hotel has an unusual entrance (escalators) but the lobby is very nice. It ressembles a hunting lodge and clearly is a bar scene for locals. We booked a Deluxe Queen room for 3 nights but when we said that we were intending to have our simple civil wedding at the hotel, the Guest Experience Manager (""GEM"") immediately upgraded us to their suite (their best room) at no extra charge. We decided to hold the ceremony in their Penthouse Suite with private terrace. The Suite was extremely expensive for all but the very rich (>$4000/night) but we were able to hire it for an hour for $500. The GEM covered the floor with rose petals and candles and made it look great.
The other thing that I definitely want to mention was the outstanding service and care provided by the various concierges. They recommended and booked at great restaurants and made sure that the next concierge on duty knew everything that had been spoken between us. They arranged ground transportation and called me on my cell phone multiple times to ensure that everything was right.
One negative point which I see others have noted too is that while the A/C is very effective, it makes all manners of clanking sounds.
In summary, I would say that the rooms are pricey and too small for what you get (unless you get a free upgarde). Location is great, but what really gets the 5 Star treatment is the service by the GEMs and Concierges.",Trottamundos,2012-12-01,223023,2012-12-11,False,5.0,4.0,4.0,3.0,4.0,2.0,3.0,3.6,1,4.0,Hudson New York,New York City,10019,356 West 58th Street
"“Strange - verging on kinky” Okay, so I'm in a bit of a conundrum writing this review. The hotel is pretty awful (certainly for the price, it's dreadful - we're well travelled but I've never seen anything like it) but the staff are really nice and helpful. Nonetheless, I really can't give more than 'two stars' as people need to be aware before they pay to stay.
So we checked into room 408 the other day. (I should perhaps mention that we are a couple - quite used to the not so finer aspects of coupledom.) On arrival, we did notice that the hotel was extremely dark (decided not to eat here - I kind of like to see what I'm eating.) So, we're informed that this is their very own 'greenhouse effect' and that because it's all constructed of glass, at night it's dark. Well, trust me - during the day, it's also DARK - time to trim the ivy me thinks.
Back to room 408. We hadn't requested a 'room with a view' and if we had, I really don't think we'd have predicted the kind of view we'd get. Okay, so the room is small - and I mean SMALL but that we could have lived with. The glass 'wall/panel' between the bed (because there's actually no room at all between the bed and this particular bathroom wall) - well, it's kind of weird - or kinky - depends how you look at it really, but you basically get to sit on the bed with a full on view of the shower and toilet. There is a curtain provided, but it doesn't work (particularly since the whole hotel is so dark you ALWAYS need every light on so you can't necessarily see what you're doing but you hopefully won't trip over the end of the bed and do yourself an injury.) Watching my wife shower was okay - I could get used to that, but I wasn't so into watching her on the toilet doing her business in the morning (there's nowhere else to hide - the bed takes up the whole room.) And when I got a stomach upset on the second night? Well, I had to catch the lift down to the lobby and use that toilet instead.
I should also mention at this point that some of the reviews on here are true - if you are 5ft, 5"" or taller (based on my wife's height) - your knees will touch the wall when you sit on the toilet. For me (at over 6ft) this was an issue in its own right!
But this is where the helpful staff enter the equation. It's not their fault the rooms/hotel have been so badly designed (presumably that particular individual was fired??) We went to reception to 'discuss' the room. With no particular complaining (I do secretly suspect they are used to the problem), they immediately offered to upgrade us and they gave us a great room (room 1151 I think it was) - not the Ritz, but really, given what we'd endured the first couple of nights, we were ecstatic - no extra charge and no fuss and for that, I absolutely commend them! Seriously noisy (it faces the street and boy do the Americans seem to like 'honking their horn') but worth it! Oh, who would have thought a normal wall blanking out a toilet from the bedroom could provide such a joy and feeling of luxury??
The only other comment about the room/bathroom arrangement (room 408) when we went to reception, was that initially we were informed that the room(s) are designed for couples. Really?? Well, we're a couple, but in England, watching your better half on the toilet is just not considered normal - end of - no room for debate.
Bedroom itself (still 408) - issue with the mirrors - I realise the glass panel between the bedroom and the bathroom and the mirrors on the walls are about making the room look bigger - newsflash - FAIL - it just makes it look a little kinky/sordid. Certainly for room 408, I'd recommend moving the TV from the mirror on the side wall by the bed to the glass panel in front of the bed - this would serve a dual purpose: A) the occupants could actually see the TV without doing an injury to their necks and B) they wouldn't have to witness their partners 'using the facilities.'
So all in all - the hotel is fine (just provided you get a sensible room) - they need to deal with their 'rooms with a view' - not nice and not modern - just weird! Stick on tiles would do or even that stuff you can get to blackout windows - something - anything would be an improvement!!!!
Would I go back? Here lies my conundrum. The staff's attitude was brilliant which inclines me to say yes, but sadly, I probably wouldn't. Not unless the rates reflected the rooms standards.
I take on board what other people have said about the lack of electric outlets to charge stuff but I can't really agree on this point - in each and every room they provide an extension lead giving more than enough outlets to charge (at least I think six) items at any one time from one power source.
Oh - one last thing that was irritating. They were undergoing a 'refurb' of their restaurant and bar which was fine. They'd covered their 'outdoor area' to provide an indoor bar and restaurant for their customers. EXCEPT ... they'd hired it out for private functions every single night without fail that we were there - meaning that we couldn't use it (the one night they even served us drinks - not cheap - quite overpriced actually and then, no sooner had we sat down with them, they told us we'd have to leave!) Not really on! (the private function we could handle but they shouldn't have served us and taken our money if they weren't prepared to let us sit down and enjoy the drink).
The Hudson Hotel New York was certainly an experience though and in some respects gave us such a laugh that I do at least feel fond of it as opposed to angry at the lack of 'normality and quality' that a hotel of this calibre should provide.",Dave G,2012-12-01,223023,2012-12-10,False,5.0,4.0,2.0,1.0,5.0,2.0,1.0,2.9,0,4.0,Hudson New York,New York City,10019,356 West 58th Street
