full_text,author,date_stayed,hotel_id,date_review,via_mobile,service,cleanliness,overall,value,location,sleep_quality,rooms,mean_rating,sentiment,hotel_class,name,locality,postal_code,street_address
"“disappointing stay” 1) Did not stand by price confirmed online registration
2) the night i checked in thursday 12/14/12. The manager on duty was extremely rude and disrespectful
3) upon check out when again questioned the price discrepancy of what I had in hand confirmation and what was charged I was unable to get a reasonable explanation they ignored me had me wait for15minutes and no manager came to me I had to leave to attend my forum.
4) I will not return nor reccommend the New Yorker to anyone
Elizabeth J Wilson",ELIZABETH W,2012-12-01,122005,2012-12-19,False,1.0,3.0,2.0,1.0,5.0,2.0,1.0,2.1,0,4.0,The New Yorker Hotel,New York City,10001,481 Eighth Ave
"“A great place to stay in New York.” Just back from a great experience in NYC. 
The hotel is perfect for a city break. Clean, perfect location and the staff is second to none. It is most friendly and welcoming especially Angel the receptionist who searched and ensured we got the best rooms possible. Thank you. 
All other staff couldn't do enough for us. Well impressed. This includes the diner attached again with fab staff and very decent food. 
In short, for a very enjoyable stay in NYC this hotel is highly recommended.",teearr,2012-12-01,122005,2012-12-18,True,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.6,1,4.0,The New Yorker Hotel,New York City,10001,481 Eighth Ave
"“Room has a Safe and HD TV” Room was small, the queen sized bed just fitted, however we knew about the small rooms from Tripadvisor photo's.
We planned just to sleep the nights anyway, going out during the day...which we did !
Our room had a Digital lock safe and HD TV, room was clean and tidy and the staff friendly. We checked in on a Thursday about 10:30pm which was quick no queue.
Made a mistake the first morning of entering Tic-Toc Dinner via the street entrance, the queue was massive waited about 15 mins and gave up and went across the road to Macs, we should have used the internal hotel entrance which we did the next day we got seated instantly, the street entrance had the same long queue. 
Hotel is a 5 minute walk to Macy's and 15 mins to Times Sq, And Empire State Building.",vic_fernandes7,2012-12-01,122005,2012-12-18,False,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.3,0,4.0,The New Yorker Hotel,New York City,10001,481 Eighth Ave
"“Rat hole in a great location” The location is great - walking distance to the Times Square and to other tourists attractions. 
The room was just terrible - small, dirty, I think it was room 201 or something like that and it was located sort of between floors. I think that maybe other rooms in this hotel are better...
The staff were good though. I arrived early morning and receptionist let me check in right away with no extra charge. The breakfast was included which is nice also.
So it all depends on what you want - we left the room early morning and come back sometimes after middle night. The room didn't look inviting but we didn't care. The location was the most important thing for us.",krosh2002,2012-11-01,122005,2012-12-17,False,3.0,1.0,3.0,3.0,5.0,1.0,1.0,2.4,1,4.0,The New Yorker Hotel,New York City,10001,481 Eighth Ave
"“LOVELY VISIT” My mother and I were exhausted when we arrived and Mohammed at reception went out of his way to make us feel welcome. That was much appreciated. Our room was lovely with very comfortable beds.
The location was perfect and we were able to get to all the places we anted to see very easily.
It felt like home every time we came back to the New Yorker and we would definitely stay there again. We visited shortly before Christmas and the lobby looked so festive!
The Tic Tock Diner and the Bar served up great food.
Many thanks.",GASGODDESS,2012-12-01,122005,2012-12-17,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,4.0,The New Yorker Hotel,New York City,10001,481 Eighth Ave
"“Lovely hotel in a great location” We arrived on 02/11/12 just after Hurricane Sandy. We stayed for 5 nights to take in my daughter's 21st birthday. We had requested a high level room with a good view, but because of the hurricane a lot of people had not checked out so one was not ready on our arrival. However, we were told that if we would like to leave our bags with the bellboy and perhaps have something to eat and a look round they would be able to get us a room in a couple of hours. We decided to do this which on reflection was a good thing as we went to Times Square, had something to eat and to the Rockerfeller and stayed out for 4 hours. Had we have gone straight to our room we would probably have rested for a while. When we did return my daughter was given a box of chocolates for her birthday and we got a room on the 32nd floor and the view from our window was the Empire State Building which was only one block away. The room was lovely, clean and comfortable. The attached diner was very good. We found the staff very polite and helpful. If we ever go to New York again we would definitely stay in this hotel.",LesleyandSarah,2012-11-01,122005,2012-12-17,False,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,4.0,The New Yorker Hotel,New York City,10001,481 Eighth Ave
“40th birthday treat” The new yorker was a superb base for exploring new york right by the subway and walking distance to times Sq and the empire state building. Our room was very small and I was disappointed not to be offered any upgrade when checking in particularly when the travel agent had made a specific note on our booking so they would know in advance it was my birthday however we spent very little time in the room anyway. This was probably the best holiday I've ever had the sights you've seen in films its hard to believe you're looking at them for real!! I would recommend this hotel and also the tick rock diner brilliant for breakfast. Would also say go and see wicked was amazing,mandy72r,2012-12-01,122005,2012-12-17,True,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.9,1,4.0,The New Yorker Hotel,New York City,10001,481 Eighth Ave
"“Location is Perfect” Just returned from a great stay in this fantastic city, stayed at the New Yorker Hotel which is located perfectly for all the major sites.The hotel is huge, very well run and very clean throughout.The rooms, although small, offer all you need and again kept very clean.Stayed on the 36th floor, and my one minor negative comment is that you still hear road and city noise (the double Glazing isnt upto much) but somehow it added to the feel of the city and didnt disturb at night.All in all a great place to stay, 2 mins walk from Penn station and the subway, 10 mns to Macy's and 15 mins to the Empire state, with times square a steady 20 mins away.
Adjoining Tic Toc diner ok for breakfast, and Coopers Tavern is a very nice relaxing bar.Hotel staff arranged transport to the airport,cheaper than the internet offers and with an extreemly proffesional curtious driver.Fully reccomend this hotel.",Spiremickey,2012-12-01,122005,2012-12-17,False,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.1,1,4.0,The New Yorker Hotel,New York City,10001,481 Eighth Ave
“Amazing view Great Location Immaculate Rooms Great Stay” I had read so many mixed reviews so I had put my expectations on hold....there was no need Hotel was great better than we thought yes its pricey but its NYC we emailed ahead and got our upgrade room with a magnificent view of the Empire State building. Some reception staff were nt great but others were excellent especially the bell hop and lugguage guys diner was great for a non fancy snack and not too badly priced ....on a separate note would recommend the following restaurants Balthazars Carmines and Olympic Diner fir amazing breakfast overall would highly recommend the New Yorker,Sparklebabe8,2012-11-01,122005,2012-12-16,False,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.6,1,4.0,The New Yorker Hotel,New York City,10001,481 Eighth Ave
"“Excellent Location .... Spotlessly Clean” Second time in New Yorker and not disappointed. Superb location , 5 mins to Empire State, 15 mins to Times Sq. Rooms spotless and service excellent. Travelled as a party of 10 for 6 nights and we all enjoyed our stay. Tick Tock Diner next door serves 24hr food and the choice is good and plentiful.",chrisnlil,2012-12-01,122005,2012-12-16,False,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.9,1,4.0,The New Yorker Hotel,New York City,10001,481 Eighth Ave
"“Tower Suite was Wonderful” Just stayed 3 nights in a tower suite; room was spacious, clean and had a spectacular view. The breakfast included was ample and tasty; and, the sofa bed was comfortable. Our maid service was exceptional. I travel to NY regularly, and often stay at New Yorker. The tower suites afford space and comfort in a hotel with an outstanding location.",kristi11876,2012-12-01,122005,2012-12-14,True,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.6,1,4.0,The New Yorker Hotel,New York City,10001,481 Eighth Ave
"“No worries for the New Yorker” My husband and I stayed at the New Yorker Hotel 27 - 30 November 2012.
The location was perfection! Penn Street station directly around the corner, Madison Square Gardens directly within eye site - just across the road.
The lobby was impressive - old New Yorker Charm, busy bustling lobby you'd expect of a New York hotel but with a much more welcoming vibe. We requested a room on a high floor and furtherest away from the elevator and the New Yorker Hotel delivered. 
Whilst cosy, the bed was comfy, the room was the perfect temperature, we didn't have much traffic noise and the bathroom had a bath!!!! It was lovely to soak into a warm bubble bath after a long day walking around and exploring the city.
We had a great view of the Empire State Building, it was fantastic to watch the lights twinkle at night as we were winding down getting ready for bed.
Loved every minute of our stay at the New Yorker and would highly recommend.",hailsntwang,2012-11-01,122005,2012-12-13,False,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,4.0,The New Yorker Hotel,New York City,10001,481 Eighth Ave
